Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price
Google,2009,Nov,AdMob,Mobile advertising,United States,?
Google,2009,Nov,Gizmo5,Voice over IP,United States,"30,000,000.00"
Google,2009,Nov,Teracent,Online advertising,United States,?
Google,2009,Dec,AppJet,Collaborative real-time editor,United States,?
Google,2010,Feb,Aardvark,Social search,United States,"50,000,000.00"
Google,2010,Feb,reMail,Email search,United States,?
Google,2010,Mar,Picnik,Photo editing,United States,?
Google,2010,Mar,DocVerse,Microsoft Office files sharing site,United States,"25,000,000.00"
Google,2010,Apr,Episodic,Online video platform start-up,United States,?
Google,2010,Apr,Plink,Visual search engine,Ireland,?
Google,2010,Apr,Agnilux,Server CPUs,United States,?
Google,2010,Apr,LabPixies,Gadgets,Israel,?
Google,2010,Apr,BumpTop,Desktop environment,Canada,"30,000,000.00"
Google,2010,May,Global IP Solutions,Video and audio compression,United States,"68,200,000.00"
Google,2010,May,Simplify Media,Music streaming,United States,?
Google,2010,May,Ruba.com,Travel,United States,?
Google,2010,Jun,Invite Media,Advertising,United States,"81,000,000.00"
Google,2010,Jul,Metaweb,Semantic search,United States,?
Google,2010,Aug,Zetawire,"Mobile payment, NFC",Canada,?
Google,2010,Aug,Instantiations,Java/Eclipse/AJAX developer tools,United States,?
Google,2010,Aug,Slide.com,Social gaming,United States,"228,000,000.00"
Google,2010,Aug,Jambool,Social Gold payment,United States,"70,000,000.00"
Google,2010,Aug,Like.com,Visual search engine,United States,"100,000,000.00"
Google,2010,Aug,Angstro,Social networking service,United States,?
Google,2010,Aug,SocialDeck,Social gaming,Canada,?
Google,2010,Sep,Quiksee,Online video,Israel,"10,000,000.00"
Google,2010,Sep,Plannr,Schedule management,United States,?
Google,2010,Oct,BlindType,Touch typing,Greece,?
Google,2010,Dec,Phonetic Arts,Speech synthesis,United Kingdom,?
Google,2010,Dec,Widevine Technologies,DRM,United States,?
Google,2011,Jan,eBook Technologies,E-book,United States,?
Google,2011,Jan,SayNow,Voice recognition,United States,?
Google,2011,Mar,Zynamics,Security,Germany,?
Google,2011,Mar,BeatThatQuote.com,Price comparison service,United Kingdom,"65,000,000.00"
Google,2011,Mar,Next New Networks,Online video,United States,?
Google,2011,Mar,Green Parrot Pictures,Digital video,Ireland,?
Google,2011,Apr,PushLife,Service provider,Canada,"25,000,000.00"
Google,2011,Apr,ITA Software,Travel technology,United States,"676,000,000.00"
Google,2011,Apr,TalkBin,Mobile software,United States,?
Google,2011,May,Sparkbuy,Product search,United States,?
Google,2011,Jun,PostRank,Social media analytics service,Canada,?
Google,2011,Jun,Admeld,Online advertising,United States,"400,000,000.00"
Google,2011,Jun,SageTV,Media center,United States,?
Google,2011,Jul,Punchd,Loyalty program,United States,?
Google,2011,Jul,Fridge,Social groups,United States,?
Google,2011,Jul,PittPatt,Facial recognition system,United States,?
Google,2011,Aug,Dealmap,One deal a day service,United States,?
Google,2011,Aug,Motorola Mobility,Mobile device manufacturer,United States,?
Google,2011,Sep,Zave Networks,Digital coupons,United States,?
Google,2011,Sep,Zagat,Restaurant reviews,United States,"151,000,000.00"
Google,2011,Sep,DailyDeal,One deal a day service,Germany,"114,000,000.00"
Google,2011,Oct,SocialGrapple,Social media analytics service,Canada,?
Google,2011,Nov,Apture,Instantaneous search,United States,?
Google,2011,Nov,Katango,Social circle organization,United States,?
Google,2011,Dec,RightsFlow,Music rights management,United States,?
Google,2011,Dec,Clever Sense,Local recommendations app,United States,?
Google,2012,Mar,Milk,Software company,United States,?
Google,2012,Apr,TxVia,Online payments,United States,?
Google,2012,Jun,Meebo,Social networking,United States,"100,000,000.00"
Google,2012,Jun,Quickoffice,Mobile office suite,United States,?
Google,2012,Jul,Sparrow,Mobile apps,France,"25,000,000.00"
Google,2012,?,WIMM Labs,Android-powered smartwatches,United States,?
Google,2012,Aug,Wildfire Interactive,Social media marketing,United States,"450,000,000.00"
Google,2012,Sep,VirusTotal.com,Security,Spain,?
Google,2012,Sep,Nik Software,Photography,United States,?
Google,2012,Oct,Viewdle,Facial recognition,Ukraine,"45,000,000.00"
Google,2012,Nov,Incentive Targeting,Digital coupons,United States,?
Google,2012,Nov,BufferBox,Package delivery,Canada,"17,000,000.00"
Google,2013,Feb,Channel Intelligence,Product ecommerce,United States,"125,000,000.00"
Google,2013,Mar,DNNresearch,Deep Neural Networks,Canada,"44,000,000.00"
Google,2013,Mar,Talaria Technologies,Cloud computing,United States,?
Google,2013,Apr,Behavio,Social Prediction,United States,?
Google,2013,Apr,Wavii,Natural Language Processing,United States,"30,000,000.00"
Google,2013,May,Makani Power,Airborne wind turbines,United States,?
Google,2013,Jun,Waze,GPS navigation software,Israel,"966,000,000.00"
Google,2013,Sep,Bump,Mobile software,United States,?
Google,2013,Oct,Flutter,Gesture recognition technology,United States,"40,000,000.00"
Google,2013,Oct,FlexyCore,DroidBooster App for Android,France,"23,000,000.00"
Google,2013,Dec,Schaft,"Robotics, humanoid robots",Japan,?
Google,2013,Dec,Industrial Perception,"Robotic arms, computer vision",United States,?
Google,2013,Dec,Redwood Robotics,Robotic arms,United States,?
Google,2013,Dec,Meka Robotics,Robots,United States,?
Google,2013,Dec,Holomni,Robotic wheels,United States,?
Google,2013,Dec,Bot & Dolly,Robotic cameras,United States,?
Google,2013,Dec,Autofuss,Ads and Design,United States,?
Google,2014,Jan,Bitspin,Timely App for Android,Switzerland,?
Google,2014,Jan,Nest Labs,Home automation,United States,?
Google,2014,Jan,Impermium,Internet security,United States,?
Google,2014,Jan,DeepMind Technologies,Artificial intelligence,United Kingdom,"625,000,000.00"
Google,2014,Feb,SlickLogin,Internet Security,Israel,?
Google,2014,Feb,spider.io,Anti-click fraud,United Kingdom,?
Google,2014,Mar,GreenThrottle,Gadgets,United States,?
Google,2014,Apr,Titan Aerospace,High-altitude UAVs,United States,?
Google,2014,May,Rangespan,?,United Kingdom,?
Google,2014,May,Adometry,Online advertising attribution,United States,?
Google,2014,May,Appetas,Restaurant website creation,United States,?
Google,2014,May,Stackdriver,Cloud computing,United States,?
Google,2014,May,MyEnergy,Online energy usage monitoring,United States,?
Google,2014,May,Quest Visual,Augmented reality,United States,?
Google,2014,May,Divide,Mobile device management,United States,?
Google,2014,Jun,Skybox Imaging,Satellite,United States,"500,000,000.00"
Google,2014,Jun,mDialog,Online advertising,Canada,?
Google,2014,Jun,Alpental Technologies,Wireless,United States,?
Google,2014,Jun,Dropcam,Home monitoring,United States,"555,000,000.00"
Google,2014,Jun,Appurify,Automated application testing,United States,?
Google,2014,Jul,Songza,Music streaming,United States,?
Google,2014,Jul,drawElements,Graphics compatibility testing,Finland,?
Google,2014,Aug,Emu,IM client,United States,?
Google,2014,Aug,Director,Mobile video,United States,?
Google,2014,Aug,Jetpac,"Artificial intelligence, image recognition",United States,?
Google,2014,Aug,Gecko Design,Mechanical design,United States,?
Google,2014,Aug,Zync Render,Cloud-based visual effects software,United States,?
Google,2014,Sep,Lift Labs,Liftware,United States,?
Google,2014,Sep,Polar,Social polling,United States,?
Google,2014,Oct,Firebase,Application development platform,United States,?
Google,2014,Oct,Dark Blue Labs & Vision Factory,Artificial intelligence,United Kingdom,"10,000,000.00"
Google,2014,Oct,Revolv,Home automation,United States,?
Google,2014,Nov,RelativeWave,Mobile software prototyping,United States,?
Google,2014,Dec,Vidmaker,Video editing,United States,?
Google,2015,Feb,Launchpad Toys,Child-friendly apps,United States,?
Google,2015,Feb,Odysee,Multimedia sharing and storage,United States,?
Google,2015,Feb,Softcard,Mobile payments,United States,?
Google,2015,Feb,Red Hot Labs,App advertising and discovery,United States,?
Google,2015,Apr,Thrive Audio,Surround sound technology,Ireland,?
Google,2015,Apr,Skillman & Hackett,Virtual reality software,United States,?
Google,2015,May,Timeful,Mobile software,United States,?
Google,2015,May,Pulse.io,Mobile app optimizer,United States,?
Google,2015,Jul,Pixate,Mobile software prototyping,United States,?
Google,2015,Sep,Oyster,E-book subscriptions,United States,?
Google,2015,Sep,Jibe Mobile,Rich Communication Services,United States,?
Google,2015,Jun,Agawi,Mobile application streaming,United States,?
Google,2015,Oct,Digisfera,360-degree photography,Portugal,?
Google,2015,Nov,Fly Labs,Video editing,United States,?
Google,2015,Nov,bebop,Cloud software,United States,"380,000,000.00"
Google,2016,Feb,BandPage,Platform for musicians,United States,?
Google,2016,Feb,Pie,Enterprise communications,Singapore,?
Google,2016,May,Synergyse,Interactive learning platform,Canada,?
Google,2016,Jun,Webpass,Internet service provider,United States,?
Google,2016,Jul,Moodstocks,Image recognition,France,?
Google,2016,Jul,Anvato,Cloud-based video services,United States,?
Google,2016,Jul,Kifi,Link management,United States,?
Google,2016,Jul,LaunchKit,Mobile developer tools,United States,?
Google,2016,Aug,Orbitera,Cloud software,United States,"100,000,000.00"
Google,2016,Sep,Apigee,API management and predictive analytics,United States,"625,000,000.00"
Google,2016,Sep,Urban Engines,Location-based analytics,United States,?
Google,2016,Sep,API.AI,Natural language processing,United States,?
Google,2016,Oct,FameBit,Branded content,United States,?
Google,2016,Oct,Eyefluence,"Eye tracking, virtual reality",United States,?
Google,2016,Nov,LeapDroid,Android Emulator,United States,?
Google,2016,Nov,Qwiklabs,Cloud-based hands-on training platform,United States,?
Google,2016,Dec,Cronologics,Smartwatches,United States,?
